code,Country  ,Gcountry,Continent,Location  ,Type  ,Sub Type  ,dayStart,monthStart,yearStart,dayEnd,monthEnd,yearEnd,duration,complete
1,Afghanistan,Afghanistan,SOUTHERN ASIA,Paktia province,Drought,Drought,,1,1969,,,1969,,0
2,Afghanistan,Afghanistan,SOUTHERN ASIA,"Central, North-West, Nort ...",Drought,Drought,,8,1971,,,1973,,0
3,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kandahar, Helmand, Nimroz ...",Drought,Drought,,5,2000,,,2002,,0
4,Afghanistan,Afghanistan,SOUTHERN ASIA,,Drought,Drought,,7,2006,,,2006,,0
5,Afghanistan,Afghanistan,SOUTHERN ASIA,"Kunduz, Balkh, Faryab, Ba ...",Drought,Drought,,10,2008,,10,2008,,0
6,Afghanistan,Afghanistan,SOUTHERN ASIA,"Balkh, Samangan, Takhar, ...",Drought,Drought,,1,2011,,8,2011,,0
7,Afghanistan,Afghanistan,SOUTHERN ASIA,North Region,Earthquake (seismic activity),Earthquake (ground shaking),10,6,1954,10,6,1954,0,1
8,Afghanistan,Afghanistan,SOUTHERN ASIA,Kabul,Earthquake (seismic activity),Earthquake (ground shaking),10,6,1956,10,6,1956,0,1
9,Afghanistan,Afghanistan,SOUTHERN ASIA,Hindu Kush,Earthquake (seismic activity),Earthquake (ground shaking),19,3,1976,19,3,1976,0,1
10,Afghanistan,Afghanistan,SOUTHERN ASIA,Baghlan province (Hindu K ...,Earthquake (seismic activity),Earthquake (ground shaking),16,12,1982,16,12,1982,0,1
11,Afghanistan,Afghanistan,SOUTHERN ASIA,"Hindu Kush region, North- ...",Earthquake (seismic activity),Earthquake (ground shaking),16,12,1983,16,12,1983,0,1
12,Afghanistan,Afghanistan,SOUTHERN ASIA,Jalalabad Area,Earthquake (seismic activity),Earthquake (ground shaking),2,2,1984,2,2,1984,0,1
13,Afghanistan,Afghanistan,SOUTHERN ASIA,"Konar, Nangarhar, Badakhs ...",Earthquake (seismic activity),Earthquake (ground shaking),31,1,1991,31,1,1991,0,1
14,Afghanistan,Afghanistan,SOUTHERN ASIA,Keshim (Badakhshan provin ...,Earthquake (seismic activity),Earthquake (ground shaking),18,4,1991,18,4,1991,0,1
15,Afghanistan,Afghanistan,SOUTHERN ASIA,,Earthquake (seismic activity),Earthquake (ground shaking),20,5,1992,20,5,1992,0,1
16,Afghanistan,Afghanistan,SOUTHERN ASIA,"Termez, Depth Shallow, Ba ...",Earthquake (seismic activity),Earthquake (ground shaking),1,5,1994,1,5,1994,0,1
17,Afghanistan,Afghanistan,SOUTHERN ASIA,"Pakhalsoz, Dar-E-Zand, Qa ...",Earthquake (seismic activity),Earthquake (ground shaking),31,1,1996,31,1,1996,0,1
18,Afghanistan,Afghanistan,SOUTHERN ASIA,Herat area,Earthquake (seismic activity),Earthquake (ground shaking),10,5,1997,10,5,1997,0,1
19,Afghanistan,Afghanistan,SOUTHERN ASIA,Rustaq (Takhar province),Earthquake (seismic activity),Earthquake (ground shaking),4,2,1998,4,2,1998,0,1
20,Afghanistan,Afghanistan,SOUTHERN ASIA,Rostaq area,Earthquake (seismic activity),Earthquake (ground shaking),20,2,1998,20,2,1998,0,1
21,Afghanistan,Afghanistan,SOUTHERN ASIA,Shari-I-Buzurg (Faizabad ...,Earthquake (seismic activity),Earthquake (ground shaking),30,5,1998,30,5,1998,0,1
22,Afghanistan,Afghanistan,SOUTHERN ASIA,"Maidam Shar, Nirkh, Sayed ...",Earthquake (seismic activity),Earthquake (ground shaking),11,2,1999,11,2,1999,0,1
